decibeles,minutosPartido
"86,20",66:50
"83,70",66:51
"85,20",66:52
"83,40",66:54
"78,60",66:54
"86,40",66:55
"85,10",66:56
"84,40",66:57
"83,00",66:58
"84,70",66:59
"87,70",67:00
"85,20",67:01
"85,20",67:02
"81,40",67:03
"82,90",67:04
"84,70",67:05
"84,30",67:06
"85,80",67:07
"82,20",67:08
"84,00",67:09
"82,60",67:10
"83,40",67:11
"87,80",67:12
"87,10",67:13
"96,70",67:14
"93,20",67:15
"89,70",67:16
"85,70",67:17
"92,80",67:18
"96,90",67:19
"86,40",67:20
"82,20",67:21
"82,60",67:22
"84,20",67:23
"84,80",67:24
"84,50",67:25
"79,30",67:26
"80,70",67:27
"79,40",67:28
"79,30",67:30
"84,50",67:30
"83,10",67:31
"77,70",67:32
"79,10",67:33
"82,60",67:34
"80,70",67:35
"83,00",67:36
"82,50",67:37
"84,60",67:39
"85,90",67:39
"80,60",67:40
"87,40",67:41
"87,10",67:42
"77,70",67:43
"86,70",67:44
"87,40",67:45
"87,90",67:46
"83,80",67:47
"82,80",67:48
"86,30",67:49
"83,70",67:50
"77,90",67:51
"80,60",67:52
"80,90",67:53
"81,50",67:54
"82,60",67:55
"82,30",67:56
"87,90",67:57
"84,90",67:58
"87,20",67:59
"95,70",68:00
"97,70",68:01
"93,00",68:02
"90,40",68:03
"88,20",68:04
"90,00",68:05
"90,30",68:06
"86,30",68:07
"87,80",68:08
"86,50",68:09
"81,60",68:10
"83,20",68:11
"80,10",68:12
"80,20",68:13
"85,50",68:15
"86,70",68:15
"85,20",68:16
"84,10",68:17
"83,90",68:18
"84,80",68:19
"84,00",68:20
"86,30",68:21
"85,30",68:22
"84,90",68:24
"85,80",68:24
"85,10",68:25
"85,00",68:26
"85,30",68:27
"83,90",68:28
"85,50",68:29
"84,10",68:30
"83,60",68:31
"86,40",68:32
"77,80",68:33
"85,80",68:34
"83,10",68:35
"85,20",68:36
"87,90",68:37
"84,60",68:38
"86,40",68:39
"76,70",68:40
"84,10",68:41
"86,40",68:42
"79,00",68:43
"83,40",68:44
"86,20",68:45
"83,30",68:46
"85,80",68:47
"84,40",68:48
"85,10",68:49
"85,50",68:50
"77,60",68:51
"86,50",68:52
"85,70",68:53
"76,10",68:54
"84,40",68:55
"81,80",68:56
"82,60",68:57
"82,10",68:58
"83,60",69:00
"86,20",69:00
"87,80",69:01
"89,60",69:02
"88,30",69:03
"89,50",69:04
"85,20",69:05
"85,60",69:06
"87,00",69:07
"86,40",69:09
"85,40",69:09
"91,00",69:10
"88,40",69:11
"90,80",69:12
"98,90",69:13
"102,80",69:14
"100,50",69:15
"89,30",69:16
"87,30",69:17
"84,90",69:18
"88,20",69:19
